Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,1,20,0.369150,0.058791,0.025766,22.7591,3.6320,1.5918
Authentication,1,20,0.848444,0.403437,0.176814,52.3665,24.9270,10.9248
