Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,10,0.278379,0.019390,0.012018,17.1520,1.1977,0.7424
Authentication,10,10,0.135940,0.007123,0.004415,8.3750,0.4406,0.2731
Key Exchange,10,10,0.143070,0.009880,0.006124,8.8195,0.6108,0.3786
