Metric,Mean,CI_95,Unit
Enrollment_Energy,0.691403,0.34392,J
Enrollment_Time,0.181967,0.090503,s
AuthKeyEx_Avg_Energy,0.23361,0.01469,J/round
AuthKeyEx_Avg_Time,0.061478,0.003879,s/round
