Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,6,0.522514,0.437816,0.271361,32.2347,27.0541,16.7683
Authentication,10,4,1.461151,2.798086,1.734272,90.2366,172.9202,107.1770
