Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,3,0.314931,0.009810,0.008599,19.4107,0.6068,0.5319
Authentication,5,3,0.243008,0.040316,0.035339,14.9751,2.4910,2.1835
Key Exchange,5,3,0.163908,0.006082,0.005331,10.1037,0.3758,0.3294
