Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,3,0.083033,0.008588,0.007528,5.1051,0.5308,0.4653
Authentication,5,3,0.654776,0.029920,0.026226,40.3603,1.8458,1.6179
Key Exchange,5,3,0.491475,0.031789,0.027864,30.2973,1.9645,1.7220
