Metric,Mean,CI_95,Unit
Registration_Energy,0.504685,0.037516,J
Registration_Time,0.1328,0.009879,s
Auth_Avg_Energy,0.16753,0.011283,J/round
Auth_Avg_Time,0.044089,0.002952,s/round
