Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.338028,0.011845,0.010383,20.8374,0.7317,0.6414
Authentication,5,20,0.243990,0.006992,0.006129,15.0356,0.4322,0.3789
Key Exchange,5,20,0.177337,0.006467,0.005668,10.9333,0.3999,0.3506
