Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.168534,0.009008,0.007896,10.3849,0.5569,0.4881
Authentication,5,20,0.672133,0.006138,0.005380,41.4346,0.3780,0.3313
Key Exchange,5,20,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000
