Device_ID,CPU_Time_s,Energy_J
81,0.838696,0.05172940
82,0.605280,0.03730420
83,0.631080,0.03889900
84,0.635496,0.03917060
85,0.704080,0.04338820
86,0.629096,0.03877600
87,0.669680,0.04128420
88,0.671080,0.04137080
89,0.627480,0.03867600
90,0.639696,0.03943020
91,0.834680,0.05148120
92,0.601680,0.03708180
93,0.645080,0.03976400
94,0.655480,0.04040680
95,0.675480,0.04164180
96,0.852880,0.05260600
97,0.599880,0.03697060
98,0.644080,0.03970200
99,0.593280,0.03656300
100,0.688480,0.04244580
