Device_ID,CPU_Time_s,Energy_J
81,0.000000,0.00000000
82,0.000000,0.00000000
83,0.000000,0.00000000
84,0.000000,0.00000000
85,0.000000,0.00000000
86,0.000000,0.00000000
87,0.000000,0.00000000
88,0.000000,0.00000000
89,0.000000,0.00000000
90,0.000000,0.00000000
91,0.000000,0.00000000
92,0.000000,0.00000000
93,0.000000,0.00000000
94,0.000000,0.00000000
95,0.000000,0.00000000
96,0.000000,0.00000000
97,0.000000,0.00000000
98,0.000000,0.00000000
99,0.000000,0.00000000
100,0.000000,0.00000000
