Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,2,2.746848,1.420137,1.244805,169.6798,87.7539,76.9197
Authentication,5,1,0.407320,0.054168,0.047480,25.1122,3.3476,2.9343
