Device_ID,Energy_J,CPU_Time_s
81,0.01699870,0.275612
82,0.01231470,0.199823
83,0.01688100,0.273712
84,0.01232660,0.200012
85,0.01644240,0.266612
86,0.01207320,0.195912
87,0.01514460,0.245612
88,0.01107800,0.179812
89,0.01495360,0.242523
90,0.01119020,0.181623
91,0.01670960,0.270934
92,0.01199290,0.194612
93,0.01749280,0.283612
94,0.01274190,0.206734
95,0.01705640,0.276623
96,0.01187550,0.192712
97,0.01723360,0.279412
98,0.01177640,0.191112
99,0.01578520,0.256012
100,0.01174550,0.190612
