Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
112345,81,24.1350,0.391368,15.4930,0.251112,17.4100,0.282072,57.0380,0.924552
112345,82,21.1690,0.343368,8.2620,0.134112,8.4490,0.137072,37.8800,0.614552
112345,83,27.8430,0.451368,12.6500,0.205112,20.9330,0.339072,61.4260,0.995552
112345,84,18.5120,0.300368,15.5550,0.252112,7.4610,0.121072,41.5280,0.673552
112345,85,27.2870,0.442368,12.9590,0.210112,10.3030,0.167072,50.5490,0.819552
112345,86,32.2740,0.523368,14.9370,0.242112,8.2020,0.133072,55.4130,0.898552
112345,87,20.5510,0.333368,13.3920,0.217112,14.8150,0.240072,48.7580,0.790552
112345,88,18.6970,0.303368,11.3520,0.184112,12.0960,0.196072,42.1450,0.683552
112345,89,27.2250,0.441368,9.5670,0.155224,14.0110,0.227072,50.8030,0.823664
112345,90,20.1800,0.327368,10.3630,0.168112,10.2420,0.166072,40.7850,0.661552
112345,91,26.2370,0.425368,14.5110,0.235224,18.9330,0.307072,59.6810,0.967664
112345,92,15.3600,0.249368,7.8300,0.127112,11.0450,0.179072,34.2350,0.555552
112345,93,26.8550,0.435368,11.9080,0.193112,14.2590,0.231072,53.0220,0.859552
112345,94,20.6750,0.335368,10.3700,0.168224,8.1210,0.131760,39.1660,0.635352
112345,95,26.6070,0.431368,12.8970,0.209112,11.2350,0.182144,50.7390,0.822624
112345,96,18.7590,0.304368,11.2900,0.183112,7.2130,0.117072,37.2620,0.604552
112345,97,25.0010,0.405368,13.8240,0.224112,14.0110,0.227072,52.8360,0.856552
112345,98,17.7080,0.287368,9.4980,0.154112,10.2420,0.166072,37.4480,0.607552
112345,99,30.0060,0.486368,15.6570,0.254112,15.4330,0.250072,61.0960,0.990552
112345,100,20.9840,0.340368,8.6950,0.141112,12.7750,0.207072,42.4540,0.688552
123456,81,25.4950,0.413368,20.6670,0.335112,13.0800,0.212072,59.2420,0.960552
123456,82,14.4560,0.234736,18.0100,0.292112,7.6420,0.124072,40.1080,0.650920
123456,83,20.1800,0.327368,19.7400,0.320112,12.5240,0.203072,52.4440,0.850552
123456,84,25.4330,0.412368,13.2510,0.215112,10.5460,0.171072,49.2300,0.798552
123456,85,35.4450,0.574368,18.6280,0.302112,14.1930,0.230072,68.2660,1.106552
123456,86,20.8600,0.338368,11.5210,0.187112,14.3160,0.232072,46.6970,0.757552
123456,87,25.6800,0.416368,19.4310,0.315112,16.6030,0.269072,61.7140,1.000552
123456,88,20.1800,0.327368,14.4260,0.234112,10.6080,0.172072,45.2140,0.733552
123456,89,21.9110,0.355368,22.2120,0.360112,21.4850,0.348072,65.6080,1.063552
123456,90,15.4220,0.250368,14.1170,0.229112,9.8710,0.160144,39.4100,0.639624
123456,91,24.0120,0.389368,16.6570,0.270224,24.5750,0.398072,65.2440,1.057664
123456,92,19.3150,0.313368,11.9540,0.194112,10.4850,0.170072,41.7540,0.677552
123456,93,27.7820,0.450368,23.5720,0.382112,15.4900,0.251072,66.8440,1.083552
123456,94,21.7250,0.352368,15.2980,0.248224,7.8270,0.127072,44.8500,0.727664
123456,95,22.8990,0.371368,18.9370,0.307112,14.1310,0.229072,55.9670,0.907552
123456,96,21.2930,0.345368,11.6450,0.189112,9.8090,0.159144,42.7470,0.693624
123456,97,29.8210,0.483368,21.0380,0.341112,11.9680,0.194072,62.8270,1.018552
123456,98,18.1020,0.293736,14.9820,0.243112,11.3500,0.184072,44.4340,0.720920
123456,99,33.2200,0.538368,15.5380,0.252112,11.1640,0.181072,59.9220,0.971552
123456,100,14.6800,0.238368,15.8470,0.257112,8.5690,0.139072,39.0960,0.634552
234567,81,26.1750,0.424368,15.0440,0.244112,9.3720,0.152072,50.5910,0.820552
234567,82,20.2420,0.328368,11.8300,0.192112,10.3610,0.168072,42.4330,0.688552
234567,83,25.9890,0.421368,23.2010,0.376112,11.2260,0.182072,60.4160,0.979552
234567,84,20.6130,0.334368,14.9200,0.242112,9.1870,0.149072,44.7200,0.725552
234567,85,31.9130,0.517368,25.1790,0.408112,16.7880,0.272072,73.8800,1.197552
234567,86,22.2810,0.361368,12.2630,0.199112,11.3500,0.184072,45.8940,0.744552
234567,87,32.7740,0.531368,15.1670,0.246112,14.0070,0.227072,61.9480,1.004552
234567,88,15.8540,0.257368,11.5210,0.187112,7.4560,0.121072,34.8310,0.565552
234567,89,29.6360,0.480368,18.5660,0.301112,18.0240,0.292072,66.2260,1.073552
234567,90,19.1300,0.310368,11.3360,0.184112,11.3500,0.184072,41.8160,0.678552
234567,91,22.9610,0.372368,16.8360,0.273112,14.8110,0.240072,54.6080,0.885552
234567,92,19.3770,0.314368,14.5490,0.236112,9.4340,0.153072,43.3600,0.703552
234567,93,25.7420,0.417368,24.3750,0.395112,15.2430,0.247072,65.3600,1.059552
234567,94,21.8490,0.354368,16.6500,0.270112,9.3720,0.152072,47.8710,0.776552
234567,95,30.0680,0.487368,23.6480,0.384112,16.6030,0.269072,70.3190,1.140552
234567,96,25.6350,0.415640,13.4990,0.219112,10.6080,0.172072,49.7420,0.806824
234567,97,21.8300,0.354368,20.2350,0.328112,12.8370,0.208144,54.9020,0.890624
234567,98,16.9050,0.274368,13.0040,0.211112,8.2600,0.134072,38.1690,0.619552
234567,99,31.2420,0.506368,17.0210,0.276112,20.0640,0.325072,68.3270,1.107552
234567,100,22.6520,0.367368,15.5380,0.252112,14.5630,0.236072,52.7530,0.855552
345678,81,29.1640,0.472736,22.7690,0.369112,12.2770,0.199072,64.2100,1.040920
345678,82,22.9610,0.372368,16.0320,0.260112,8.8160,0.143072,47.8090,0.775552
345678,83,29.2650,0.474368,19.1220,0.310112,15.3670,0.249072,63.7540,1.033552
345678,84,27.8430,0.451368,16.4650,0.267112,14.8720,0.241072,59.1800,0.959552
345678,85,29.5740,0.479368,16.5890,0.269112,12.3390,0.200072,58.5020,0.948552
345678,86,17.9550,0.291368,16.7120,0.271112,11.4120,0.185072,46.0790,0.747552
345678,87,26.0510,0.422368,19.9260,0.323112,16.4790,0.267072,62.4560,1.012552
345678,88,21.8490,0.354368,10.1610,0.165112,10.7320,0.174072,42.7420,0.693552
345678,89,20.3490,0.330104,16.1560,0.262112,12.0910,0.196072,48.5960,0.788288
345678,90,17.7650,0.288368,15.5380,0.252112,10.7940,0.175072,44.0970,0.715552
345678,91,25.5570,0.414368,19.2460,0.312112,23.2770,0.377072,68.0800,1.103552
345678,92,15.6070,0.253368,13.9310,0.226112,11.6590,0.189072,41.1970,0.668552
345678,93,30.8720,0.500368,18.5660,0.301112,11.8440,0.192072,61.2820,0.993552
345678,94,20.9220,0.339368,15.9710,0.259112,12.7710,0.207072,49.6640,0.805552
345678,95,26.8550,0.435368,20.1110,0.326112,9.8670,0.160072,56.8330,0.921552
345678,96,23.0850,0.374368,12.9420,0.210112,12.3390,0.200072,48.3660,0.784552
345678,97,25.7420,0.417368,21.8420,0.354112,15.1200,0.245072,62.7040,1.016552
345678,98,22.2200,0.360368,16.6500,0.270112,16.0470,0.260072,54.9170,0.890552
345678,99,33.0780,0.536368,21.1000,0.342112,8.5110,0.138144,62.6890,1.016624
345678,100,24.9540,0.405368,14.3640,0.233112,10.2990,0.167072,49.6170,0.805552
456789,81,28.4610,0.461368,18.9370,0.307112,17.2830,0.280072,64.6810,1.048552
456789,82,20.2420,0.328368,12.6950,0.206112,10.6700,0.173072,43.6070,0.707552
456789,83,25.0010,0.405368,18.6280,0.302112,13.6360,0.221072,57.2650,0.928552
456789,84,18.1410,0.294368,14.2400,0.231112,10.2990,0.167072,42.6800,0.692552
456789,85,24.0740,0.390368,19.9260,0.323112,14.8720,0.241072,58.8720,0.954552
456789,86,21.9110,0.355368,13.9310,0.226112,7.8270,0.127072,43.6690,0.708552
456789,87,25.9890,0.421368,21.9030,0.355112,15.1810,0.246072,63.0730,1.022552
456789,88,16.7810,0.272368,10.8410,0.176112,10.1800,0.165144,37.8020,0.613624
456789,89,25.7650,0.417736,17.7010,0.287112,10.7320,0.174072,54.1980,0.878920
456789,90,15.2360,0.247368,18.5660,0.301112,10.2990,0.167072,44.1010,0.715552
456789,91,24.4440,0.396368,27.5270,0.446112,16.1080,0.261072,68.0790,1.103552
456789,92,17.5850,0.285368,14.7350,0.239112,9.2490,0.150072,41.5690,0.674552
456789,93,29.8210,0.483368,23.8810,0.387112,17.2830,0.280072,70.9850,1.150552
456789,94,23.8880,0.387368,13.6840,0.222112,9.3100,0.151072,46.8820,0.760552
456789,95,24.2400,0.393368,20.9220,0.339224,12.8330,0.208072,57.9950,0.940664
456789,96,19.5620,0.317368,12.6950,0.206112,6.5820,0.106928,38.8390,0.630408
456789,97,24.5680,0.398368,25.7350,0.417112,14.3780,0.233072,64.6810,1.048552
456789,98,22.3660,0.362736,13.0040,0.211112,10.2990,0.167072,45.6690,0.740920
456789,99,20.7980,0.337368,22.8920,0.371112,11.6590,0.189072,55.3490,0.897552
456789,100,21.9720,0.356368,22.2120,0.360112,7.8890,0.128072,52.0730,0.844552
567890,81,29.1020,0.471736,16.7120,0.271112,12.4620,0.202072,58.2760,0.944920
567890,82,18.7590,0.304368,12.9420,0.210112,13.4510,0.218072,45.1520,0.732552
567890,83,26.1750,0.424368,20.9760,0.340112,16.9120,0.274072,64.0630,1.038552
567890,84,24.3850,0.395368,14.3020,0.232112,10.8550,0.176072,49.5420,0.803552
567890,85,27.9050,0.452368,14.7960,0.240112,9.9900,0.162072,52.6910,0.854552
567890,86,23.4560,0.380368,16.5270,0.268112,10.1140,0.164072,50.0970,0.812552
567890,87,28.0290,0.454368,15.6620,0.254112,17.3440,0.281072,61.0350,0.989552
567890,88,20.2420,0.328368,13.6840,0.222112,13.8220,0.224072,47.7480,0.774552
567890,89,24.5060,0.397368,14.1780,0.230112,19.8780,0.322072,58.5620,0.949552
567890,90,21.5400,0.349368,9.7290,0.158112,9.6810,0.157072,40.9500,0.664552
567890,91,25.8040,0.418368,25.8590,0.419112,11.7210,0.190072,63.3840,1.027552
567890,92,19.2530,0.312368,13.8690,0.225112,7.7040,0.125072,40.8260,0.662552
567890,93,25.2480,0.409368,21.3470,0.346112,12.4000,0.201072,58.9950,0.956552
567890,94,16.9280,0.274736,12.1390,0.197112,13.2040,0.214072,42.2710,0.685920
567890,95,24.6300,0.399368,19.9880,0.324112,16.0470,0.260072,60.6650,0.983552
567890,96,16.7190,0.271368,16.7740,0.272112,11.1030,0.180072,44.5960,0.723552
567890,97,22.3430,0.362368,23.8190,0.386112,11.2260,0.182072,57.3880,0.930552
567890,98,14.4330,0.234368,14.7960,0.240112,12.2770,0.199072,41.5060,0.673552
567890,99,18.6350,0.302368,20.0490,0.325112,17.7770,0.288072,56.4610,0.915552
567890,100,21.6020,0.350368,7.9980,0.130112,10.4230,0.169072,40.0230,0.649552
678901,81,24.3830,0.395368,16.6670,0.270112,20.9950,0.340072,62.0450,1.005552
678901,82,19.0680,0.309368,7.5890,0.123224,8.0170,0.130072,34.6740,0.562664
678901,83,27.1020,0.439368,14.1330,0.229112,15.0000,0.243072,56.2350,0.911552
678901,84,18.8800,0.306368,8.4480,0.137112,8.8820,0.144072,36.2100,0.587552
678901,85,28.6470,0.464368,13.5770,0.220112,16.8540,0.273072,59.0780,0.957552
678901,86,20.6130,0.334368,7.1500,0.116112,11.0450,0.179072,38.8080,0.629552
678901,87,25.4330,0.412368,13.0210,0.211112,14.9380,0.242072,53.3920,0.865552
678901,88,20.7980,0.337368,10.6720,0.173112,9.9330,0.161072,41.4030,0.671552
678901,89,35.2590,0.571368,11.2900,0.183112,9.1910,0.149072,55.7400,0.903552
678901,90,22.3430,0.362368,7.2120,0.117112,12.0340,0.195072,41.5890,0.674552
678901,91,23.6840,0.384368,11.2290,0.182112,15.8700,0.257144,50.7830,0.823624
678901,92,21.5400,0.349368,14.5660,0.236112,7.9970,0.129760,44.1030,0.715240
678901,93,24.1350,0.391368,11.5990,0.188112,13.4550,0.218072,49.1890,0.797552
678901,94,16.5960,0.269368,13.4530,0.218112,8.5730,0.139072,38.6220,0.626552
678901,95,22.1580,0.359368,17.3470,0.281112,20.9950,0.340072,60.5000,0.980552
678901,96,24.0120,0.389368,9.3750,0.152112,7.7700,0.126072,41.1570,0.667552
678901,97,237.7550,3.848368,13.0830,0.212112,15.8040,0.256072,266.6420,4.316552
678901,98,21.5400,0.349368,7.2120,0.117112,12.6520,0.205072,41.4040,0.671552
678901,99,26.2370,0.425368,12.0320,0.195112,11.9720,0.194072,50.2410,0.814552
678901,100,19.8710,0.322368,6.7170,0.109112,8.6350,0.140072,35.2230,0.571552
789012,81,26.8550,0.435368,13.0830,0.212112,9.5000,0.154072,49.4380,0.801552
789012,82,19.8710,0.322368,11.4140,0.185112,9.5000,0.154072,40.7850,0.661552
789012,83,22.8380,0.370368,16.2960,0.264112,14.1290,0.228976,53.2630,0.863456
789012,84,26.4800,0.429368,11.1670,0.181112,8.8200,0.143072,46.4670,0.753552
789012,85,27.3100,0.442736,16.6670,0.270112,14.9380,0.242072,58.9150,0.954920
789012,86,22.2810,0.361368,9.0040,0.146112,7.2130,0.117072,38.4980,0.624552
789012,87,22.8380,0.370368,10.1160,0.164112,13.0230,0.211072,45.9770,0.745552
789012,88,23.5170,0.381368,10.0540,0.163112,8.2640,0.134072,41.8350,0.678552
789012,89,28.7330,0.466368,12.2170,0.198112,15.8650,0.257072,56.8150,0.921552
789012,90,22.8380,0.370368,6.2920,0.102224,10.7360,0.174072,39.8660,0.646664
789012,91,31.5510,0.511368,11.1050,0.180112,12.2080,0.197896,54.8640,0.889376
789012,92,16.6580,0.270368,9.0660,0.147112,9.5620,0.155072,35.2860,0.572552
789012,93,29.0180,0.470368,14.6890,0.238112,16.4220,0.266072,60.1290,0.974552
789012,94,24.7530,0.401368,10.1780,0.165112,10.9830,0.178072,45.9140,0.744552
789012,95,24.6920,0.400368,13.6390,0.221112,22.0450,0.357072,60.3760,0.978552
789012,96,22.0960,0.358368,10.9200,0.177112,8.0210,0.130144,41.0370,0.665624
789012,97,24.6530,0.399736,11.8470,0.192112,12.7750,0.207072,49.2750,0.798920
789012,98,28.6470,0.464368,10.0540,0.163112,7.3370,0.119072,46.0380,0.746552
789012,99,22.5900,0.366368,14.0100,0.227112,17.5340,0.284072,54.1340,0.877552
789012,100,22.2200,0.360368,7.3350,0.119112,12.2810,0.199072,41.8360,0.678552
890123,81,30.7480,0.498368,13.3300,0.216112,10.4930,0.170144,54.5710,0.884624
890123,82,26.1130,0.423368,12.8970,0.209112,9.8090,0.159072,48.8190,0.791552
890123,83,42.1810,0.683368,12.0940,0.196112,13.7020,0.222072,67.9770,1.101552
890123,84,18.6970,0.303368,8.3240,0.135112,7.9550,0.129072,34.9760,0.567552
890123,85,22.0960,0.358368,11.5990,0.188112,23.0960,0.374072,56.7910,0.920552
890123,86,19.8710,0.322368,7.9530,0.129112,13.7640,0.223072,41.5880,0.674552
890123,87,20.1800,0.327368,10.6720,0.173112,11.4160,0.185072,42.2680,0.685552
