Device_ID,Energy_J,CPU_Time_s
81,0.02713730,0.439942
82,0.02006510,0.325505
83,0.02723160,0.441468
84,0.02158270,0.350068
85,0.02823420,0.457705
86,0.02203840,0.357468
87,0.02575310,0.417568
88,0.01994530,0.323568
89,0.02636330,0.427478
90,0.01945060,0.315568
91,0.02563960,0.415768
92,0.01803400,0.292668
93,0.02736760,0.443668
94,0.02053480,0.333105
95,0.02580440,0.418405
96,0.02092350,0.339395
97,0.04611190,0.747042
98,0.02050010,0.332542
99,0.02718640,0.440768
100,0.02116430,0.343368
