Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.398153,0.055140,0.034176,24.5534,3.4071,2.1118
Authentication,10,20,0.230181,0.050149,0.031083,14.1906,3.0905,1.9155
Key Exchange,10,20,0.201306,0.007359,0.004561,12.4167,0.4542,0.2815
