Scheme,ActiveAS,Seeds,Total_Energy_mJ,CI95_Energy_mJ,Total_CPU_s,CI95_CPU_s
LAAKA,2,5,1827.1860,23.9727,29.6340,0.3880
LAAKA,5,5,1683.1740,13.9547,27.3034,0.2258
LAAKA,10,5,1630.8760,19.9537,26.4572,0.3229
LAAKA,15,5,1662.3100,14.2900,26.9664,0.2315
RA,2,5,1064.6020,24.3016,17.2659,0.3935
RA,5,5,967.7660,14.6605,15.6989,0.2371
RA,10,5,936.1260,16.4667,15.1871,0.2665
RA,15,5,961.3620,16.4144,15.5952,0.2656
