Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.216429,0.007212,0.006322,13.3177,0.4457,0.3907
Authentication,5,20,0.830309,0.021334,0.018700,51.1866,1.3180,1.1553
Key Exchange,5,20,0.649740,0.014314,0.012547,40.0538,0.8840,0.7748
