Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,1,25.211482,6.687410,5.861773,1557.8604,413.2584,362.2369
Authentication,5,1,0.865276,0.014500,0.020096,53.4140,0.8960,1.2418
