Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.398153,0.052310,0.032422,24.5534,3.2323,2.0034
Authentication,10,20,0.275611,0.008331,0.005164,16.9897,0.5150,0.3192
Key Exchange,10,20,0.207568,0.012482,0.007736,12.8014,0.7712,0.4780
