User_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,51.91434400,0.51589600,0.49703200,1.23606400,0.29093600,3.20793900,0.03181000,0.03066700,0.07621200,0.01788100
82,59.41834400,0.81299200,0.24193600,0.90906400,0.21393600,3.67183400,0.05014100,0.01490700,0.05603300,0.01317700
83,49.51034400,0.64799200,0.30493600,1.38106400,0.32393600,3.05951500,0.03994600,0.01877900,0.08517200,0.01995300
84,45.86240800,0.58292800,0.25993600,0.94706400,0.19088800,2.83403400,0.03594800,0.01599400,0.05838100,0.01175200
85,31.63734400,0.52799200,0.16393600,1.14206400,0.18893600,1.95494100,0.03253800,0.01008700,0.07043200,0.01163200
86,25.62634400,0.61499200,0.19693600,1.09006400,0.40293600,1.58349400,0.03792900,0.01212600,0.06721800,0.02483600
87,57.39234400,0.44699200,0.28193600,1.33906400,0.31193600,3.54650000,0.02754700,0.01737900,0.08257300,0.01923300
88,94.27200000,0.25927200,0.27600000,1.04606400,0.27693600,5.82577900,0.01597800,0.01701200,0.06449900,0.01707000
89,30.55234400,0.91999200,0.52593600,1.86906400,0.32727200,1.88795000,0.05667600,0.03245000,0.11534500,0.02013100
90,27.88234400,0.85199200,0.71093600,1.87933600,0.39027200,1.72284000,0.05255300,0.04383900,0.11595700,0.02404900
91,27.87340800,0.84792800,0.60555200,1.23433600,0.25227200,1.72238700,0.05226100,0.03737800,0.07609600,0.01550600
92,27.95034400,1.49299200,0.69611200,1.27133600,0.43627200,1.72717700,0.09198300,0.04295600,0.07842100,0.02689800
93,29.73234400,1.46699200,0.59193600,1.26433600,0.39127200,1.83717400,0.09048200,0.03651200,0.07797300,0.02410600
94,30.46934400,0.83799200,0.24893600,1.05033600,0.23827200,1.88282900,0.05167900,0.01534000,0.06476300,0.01468100
95,26.89234400,1.04499200,4.05527200,1.39733600,0.26927200,1.66177500,0.06436500,0.25050600,0.08619300,0.01659600
96,48.47434400,0.55439200,0.63253600,1.15706400,0.19227200,2.99543700,0.03413600,0.03904600,0.07135900,0.01183800
97,31.52634400,0.52499200,0.34927200,0.93033600,0.22027200,1.94815100,0.03236700,0.02154300,0.05734700,0.01356800
98,25.96534400,0.62899200,0.68127200,1.16233600,0.22427200,1.60449900,0.03874800,0.04197800,0.07168500,0.01381500
99,24.63134400,0.67399200,0.35727200,1.07433600,0.21227200,1.52203700,0.04150500,0.02203500,0.06624600,0.01307400
100,23.22034400,1.33199200,0.25627200,0.85433600,0.32427200,1.43476800,0.08213900,0.01579300,0.05265000,0.01997400
