User_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,61.99804000,0.95329600,0.54093600,5.36406400,0.24493600,3.83125700,0.05882700,0.03338000,0.33121700,0.01509200
82,61.43034400,0.89699200,11.99593600,1.09706400,0.28093600,3.79610100,0.05535700,0.74116800,0.06762200,0.01731700
83,53.26534400,0.46299200,0.34293600,1.36206400,0.23393600,3.29154700,0.02853600,0.02112800,0.08402800,0.01441300
84,50.12634400,0.40499200,0.36693600,1.13543200,0.31256800,3.09760100,0.02495100,0.02263200,0.07002200,0.01927200
85,62.52334400,0.40799200,0.36593600,1.60306400,0.36893600,3.86372000,0.02513700,0.02254500,0.09886300,0.02275600
86,55.71734400,0.47999200,0.50027200,4.55572800,0.44093600,3.44313000,0.02957000,0.03087200,0.28131200,0.02720500
87,29.20940800,0.83483200,0.34103200,4.76306400,0.25093600,1.80498200,0.05151600,0.02103100,0.29416500,0.01546300
88,51.40234400,0.52299200,0.30593600,1.15173600,0.26426400,3.17641000,0.03224400,0.01886200,0.07096300,0.01628700
89,27.80034400,0.93599200,0.34393600,1.39497600,4.54027200,1.71787600,0.05774600,0.02121100,0.08601700,0.28047100
90,53.67734400,0.73299200,0.29420800,1.20179200,0.44993600,3.31704900,0.04515300,0.01813700,0.07404300,0.02773600
91,27.71493600,0.64540000,0.21493600,9.54833600,0.24727200,1.71256300,0.03980400,0.01323800,0.58986200,0.01523700
92,30.89234400,0.48399200,0.21993600,1.46933600,4.13327200,1.90890900,0.02983400,0.01354700,0.09064500,0.25528700
93,31.16534400,4.60196000,0.54996800,0.80233600,0.56827200,1.92582100,0.28430100,0.03391800,0.04943700,0.03507500
94,46.61934400,1.08999200,0.33593600,2.09606400,0.32627200,2.88087300,0.06728800,0.02064600,0.12920900,0.02005900
95,29.38034400,13.85999200,0.24893600,1.47433600,0.31227200,1.81552900,0.85639900,0.01534000,0.09090700,0.01925400
96,29.52624800,0.52708800,0.16754400,1.57933600,0.22027200,1.82453400,0.03247700,0.01028500,0.09726200,0.01356800
97,27.43234400,0.68839200,0.21627200,4.80867200,0.22227200,1.69508500,0.04243800,0.01332100,0.29691700,0.01369200
98,48.33734400,0.65199200,0.29555200,1.23333600,0.23327200,2.98703700,0.04021600,0.01822000,0.07605200,0.01437200
99,48.74628000,0.84700800,0.76009600,0.97335200,0.25527200,3.01223600,0.05221700,0.04682200,0.05988400,0.01573100
100,47.23834400,4.38399200,0.52190400,0.94133600,0.25927200,2.91903000,0.27069700,0.03220900,0.05801200,0.01597800
