User_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,45.99434400,0.63799200,0.28093600,1.21406400,0.38620800,2.84219100,0.03930700,0.01728800,0.07485200,0.02378300
82,52.17534400,0.67794400,0.27698400,0.96106400,0.23793600,3.22422200,0.04181600,0.01705800,0.05924600,0.01466000
83,50.06234400,0.57699200,0.19693600,1.10506400,0.22393600,3.09363900,0.03557700,0.01212600,0.06812400,0.01379500
84,56.46834400,0.61399200,0.42293600,1.01906400,0.30393600,3.48953700,0.03786800,0.02607100,0.06283100,0.01873900
85,30.80034400,0.93799200,0.37393600,5.37606400,0.35993600,1.90326800,0.05783300,0.02298400,0.33205500,0.02215000
86,30.80234400,1.38699200,0.31893600,1.48840000,0.40360000,1.90333100,0.08561300,0.01966600,0.09183500,0.02489400
87,51.01734400,0.42399200,0.27393600,0.83206400,0.42093600,3.15261400,0.02612600,0.01688500,0.05127400,0.02596900
88,27.66234400,0.70702400,0.66993600,1.83203200,0.39327200,1.70935300,0.04361200,0.04131800,0.11301400,0.02426000
89,52.54934400,0.66299200,0.34793600,0.87206400,0.27293600,3.24726900,0.04089600,0.02145800,0.05374600,0.01682300
90,21.89134400,0.57299200,0.27693600,1.21433600,0.25927200,1.35267700,0.03532900,0.01707000,0.07489800,0.01595700
91,59.17434400,0.72399200,0.20887200,1.45712800,0.24593600,3.65668700,0.04464200,0.01286400,0.08983100,0.01515400
92,57.58534400,0.57799200,0.23893600,1.41006400,0.33793600,3.55856000,0.03559600,0.01472200,0.08691100,0.02081900
93,30.49434400,0.60599200,0.27293600,0.94833600,0.20827200,1.88436100,0.03737300,0.01682300,0.05846000,0.01282700
94,52.95034400,0.46999200,0.22093600,1.09206400,0.36627200,3.27215000,0.02894700,0.01360900,0.06731900,0.02256600
95,30.99334400,0.86099200,0.33893600,1.13533600,0.24127200,1.91517300,0.05310200,0.02086300,0.06997900,0.01486600
96,27.62634400,0.72999200,0.39527200,0.96433600,0.21227200,1.70710900,0.04503600,0.02430800,0.05944800,0.01307400
97,22.65534400,0.59899200,0.27827200,1.10667200,0.27727200,1.39988900,0.03692100,0.01715300,0.06816100,0.01709100
98,31.71734400,0.59599200,0.35327200,1.40933600,0.17327200,1.95993100,0.03673000,0.02178800,0.08682100,0.01066400
99,26.53834400,0.54199200,0.26627200,1.09433600,0.19427200,1.63989800,0.03341800,0.01641100,0.06748200,0.01196100
100,27.26734400,0.86432800,0.33127200,0.94333600,0.26027200,1.68484100,0.05333800,0.02041500,0.05812700,0.01604000
