Round,Seeds,Avg_Users,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Enrollment,5,20.0,40.655820,2.014810,2512.3065,124.5211
Round 1,5,20.0,1.046427,0.420971,64.5618,26.0156
Round 2,5,20.0,0.512010,0.240201,31.5808,14.8423
Round 3,5,20.0,1.550870,0.454320,95.6604,28.0595
Round 4,5,20.0,0.386096,0.162094,23.8062,10.0160
