Bar,Seeds,Avg_Users,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Normal,5,20.0,41.702246,2.249441,2576.8683,139.0252
Recovery,5,20.0,43.765126,2.844453,2704.1095,175.7744
