User_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,48.99934400,1.23799200,0.47493600,1.03406400,0.50293600,3.02795400,0.07633300,0.02927600,0.06373000,0.03103800
82,64.08534400,0.50699200,0.25493600,1.33606400,0.33493600,3.96021700,0.03125500,0.01571000,0.08240300,0.02065400
83,47.39534400,0.76299200,0.22293600,1.18006400,0.46993600,2.92873500,0.04703800,0.01373300,0.07274600,0.02899700
84,54.05834400,0.43799200,0.22020800,0.90079200,0.23993600,3.34047100,0.02699100,0.01356400,0.05552100,0.01478300
85,32.07734400,0.56199200,0.29593600,1.54906400,0.28794400,1.98211600,0.03463500,0.01820400,0.09558500,0.01775000
86,47.58334400,0.39899200,0.23393600,0.94106400,0.18793600,2.94043200,0.02458500,0.01441300,0.05801000,0.01157000
87,28.66734400,0.52620000,0.37200000,2.31179200,0.40993600,1.77148200,0.03243400,0.02293700,0.14265500,0.02524000
88,56.16534400,3.79892800,0.34000000,1.30806400,0.25693600,3.47079200,0.23465300,0.02094200,0.08064300,0.01583400
89,28.69834400,4.27199200,0.45293600,0.95906400,0.32427200,1.77341500,0.26384300,0.02794700,0.05909900,0.01999500
90,26.98961600,1.32672000,0.35193600,1.72933600,0.59627200,1.66780800,0.08184900,0.02169000,0.10667800,0.03678600
91,59.17434400,0.56299200,0.33593600,0.85906400,0.24693600,3.65656100,0.03465300,0.02071600,0.05294300,0.01521600
92,24.14634400,3.48092800,0.25600000,1.14367200,0.27927200,1.49200700,0.21496000,0.01577600,0.07052700,0.01721400
93,27.20934400,4.18099200,0.33493600,1.42533600,0.53127200,1.68136600,0.25810400,0.02062000,0.08793800,0.03277300
94,31.60434400,0.44799200,0.29093600,0.98033600,0.37927200,1.95296300,0.02760900,0.01793500,0.06041200,0.02339400
95,48.67034400,0.58899200,0.30293600,1.27706400,0.21627200,3.00755300,0.03626400,0.01867700,0.07870200,0.01332100
96,24.24234400,0.92899200,0.33127200,1.26633600,0.18527200,1.49793900,0.05731100,0.02042800,0.07801300,0.01140500
97,50.93834400,0.91199200,0.54893600,1.09506400,0.21554400,3.14771400,0.05627200,0.03388000,0.06747900,0.01327600
98,31.52734400,1.19789600,0.20354400,1.01033600,0.20327200,1.94813900,0.07395300,0.01253400,0.06227600,0.01251800
99,29.58834400,0.43699200,0.25124000,0.92333600,0.18627200,1.82835000,0.02692900,0.01548200,0.05691500,0.01146700
100,24.81334400,0.66299200,0.28527200,0.96633600,0.26227200,1.53326800,0.04090200,0.01758500,0.05957200,0.01616400
